2018-09-24 12:22:21,790 [Worker-18: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\NChaudhary\Desktop\EclipseWorkSpace\JavaStack\java-restful-demo\src\test\resources
2018-09-24 12:23:16,454 [Worker-15: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-24 12:23:16,466 [Worker-15: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\NChaudhary\Desktop\EclipseWorkSpace\JavaStack\java-restful-demo\src\main\resources
2018-09-24 12:23:16,468 [Worker-15: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-24 12:23:16,470 [Worker-15: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\NChaudhary\Desktop\EclipseWorkSpace\JavaStack\java-restful-demo\src\test\resources
2018-09-24 12:23:35,586 [Worker-2: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-24 12:23:35,587 [Worker-2: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\NChaudhary\Desktop\EclipseWorkSpace\JavaStack\java-restful-demo\src\main\resources
2018-09-24 12:23:35,589 [Worker-2: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-24 12:23:35,591 [Worker-2: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\NChaudhary\Desktop\EclipseWorkSpace\JavaStack\java-restful-demo\src\test\resources
2018-09-24 12:24:46,092 [Worker-6: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-24 12:24:46,094 [Worker-6: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\NChaudhary\Desktop\EclipseWorkSpace\JavaStack\java-restful-demo\src\main\resources
2018-09-24 12:24:46,096 [Worker-6: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-24 12:24:46,097 [Worker-6: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\NChaudhary\Desktop\EclipseWorkSpace\JavaStack\java-restful-demo\src\test\resources
2018-09-24 12:25:01,509 [Worker-17: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-24 12:25:01,510 [Worker-17: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\NChaudhary\Desktop\EclipseWorkSpace\JavaStack\java-restful-demo\src\main\resources
2018-09-24 12:25:01,511 [Worker-17: Building workspace] WARN  o.e.m.c.i.embedder.EclipseLogger - Using platform encoding (Cp1252 actually) to copy filtered resources, i.e. build is platform dependent!
2018-09-24 12:25:01,512 [Worker-17: Building workspace] INFO  o.e.m.c.i.embedder.EclipseLogger - skip non existing resourceDirectory C:\Users\NChaudhary\Desktop\EclipseWorkSpace\JavaStack\java-restful-demo\src\test\resources
